,Unnamed: 0,Website,Connection Establishment Time,RTT,Initial Response,Latency,Page Load Time,Dependency Load Time,Page Size,IP,City,Country,WASM RTT,WASM Durations,WASM Sizes,Website Type
1234,1312,cambridge.org,229.073286056519,71.0854530334473,232.0,35.5427265167236,3191.0,1872.0,286060.0,193.19.204.134,Nicosia,Cyprus,0,780,586586,Educational Websites
1239,1317,espn.com,260.358810424805,69.8924064636231,344.0,34.9462032318115,8606.0,3584.0,1727150.0,193.19.204.134,Nicosia,Cyprus,0,2451,7310249,Other
1245,1323,gsmarena.com,288.467407226562,70.2016353607178,126.0,35.1008176803589,4208.0,1748.0,78583.0,193.19.204.134,Nicosia,Cyprus,0,731,1510139,Other
1252,1330,rottentomatoes.com,456.74991607666,69.746732711792,142.0,34.873366355896,4835.0,1584.0,530551.0,193.19.204.134,Nicosia,Cyprus,0,526,305220,Entertainment Websites
1272,1351,cnbc.com,523.356676101685,71.1004734039307,218.0,35.5502367019653,2013.0,796.0,2315203.0,193.19.204.134,Nicosia,Cyprus,0,1507,1695410,News Websites
1275,1354,flashscore.com,222.430229187012,71.0971355438232,125.0,35.5485677719116,11069.0,10899.0,299359.0,193.19.204.134,Nicosia,Cyprus,0,1468,1084016,Other
1282,1361,vocabulary.com,150.163173675537,70.5180168151856,641.0,35.2590084075928,3374.0,2394.0,45283.0,193.19.204.134,Nicosia,Cyprus,0,681,1494726,Other
1288,1368,xhamster.com,154.953002929688,70.3768730163574,397.0,35.1884365081787,4311.0,2330.0,319261.0,193.19.204.134,Nicosia,Cyprus,0,2315,4499591,Other
1291,1372,spanishdict.com,418.065786361694,72.3772048950195,251.0,36.1886024475098,2758.0,649.0,267058.0,193.19.204.134,Nicosia,Cyprus,0,2274,2684579,Other
1300,1381,globo.com,662.464618682861,70.5931186676025,346.0,35.2965593338013,22326.0,5340.0,1175334.0,193.19.204.134,Nicosia,Cyprus,0,6640,13579068,Other
1307,1389,nba.com,538.920164108276,69.911003112793,1330.0,34.9555015563965,5647.0,2385.0,487370.0,193.19.204.134,Nicosia,Cyprus,0,926,1056096,Other
1322,1406,pinterest.com,60.6727600097656,19.2151069641113,272.0,9.60755348205566,917.0,912.0,260843.0,87.249.135.50,Prague,Czech_Republic,0,251,657028,Social Media Sites
1323,1407,yelp.com,76.9293308258057,39.9489402770996,972.0,19.9744701385498,3047.0,2896.0,130010.0,87.249.135.50,Prague,Czech_Republic,0,156,305220,Other
1324,1408,tripadvisor.com,63.7798309326172,19.512414932251,252.0,9.75620746612549,951.0,656.0,406754.0,87.249.135.50,Prague,Czech_Republic,0,137,305220,Other
1326,1410,dictionary.com,88.665246963501,19.6402072906494,37.0,9.82010364532471,1468.0,447.0,205823.0,87.249.135.50,Prague,Czech_Republic,0,919,3327266,Educational Websites
1328,1412,cambridge.org,64.1689300537109,19.4587707519531,130.0,9.72938537597656,1064.0,655.0,286348.0,87.249.135.50,Prague,Czech_Republic,0,153,293293,Educational Websites
1333,1417,espn.com,46.5915203094482,19.5045471191406,399.0,9.75227355957031,3939.0,3032.0,1098107.0,87.249.135.50,Prague,Czech_Republic,0,276,1342251,Other
1339,1423,gsmarena.com,73.08030128479,49.2827892303467,28.0,24.6413946151733,2660.0,599.0,78615.0,87.249.135.50,Prague,Czech_Republic,0,1577,2566235,Other
1342,1426,timeanddate.com,263.647556304932,20.8406448364258,54.0,10.4203224182129,893.0,400.0,65786.0,87.249.135.50,Prague,Czech_Republic,0,766,2398347,Other
1352,1436,thefreedictionary.com,303.548097610474,28.0208587646484,132.0,14.0104293823242,3656.0,880.0,1423740.0,87.249.135.50,Prague,Czech_Republic,0,8444,13800365,Educational Websites
1357,1441,pornhub.com,73.0316638946533,21.2347507476807,167.0,10.6173753738403,2757.0,898.0,670743.0,87.249.135.50,Prague,Czech_Republic,0,3129,10036126,Other
1358,1442,ytmp3.cc,586.674690246582,19.7525024414063,201.0,9.87625122070313,2598.0,1646.0,164972.0,87.249.135.50,Prague,Czech_Republic,0,2630,7613738,Other
1366,1451,cnbc.com,351.654767990112,21.7955112457275,146.0,10.8977556228638,824.0,408.0,2314273.0,87.249.135.50,Prague,Czech_Republic,0,205,305220,News Websites
1376,1461,vocabulary.com,52.8278350830078,19.3080902099609,432.0,9.65404510498047,1718.0,1337.0,44538.0,87.249.135.50,Prague,Czech_Republic,0,879,4484178,Other
1377,1462,mcdonalds.com,263.447046279907,19.6840763092041,91.0,9.84203815460205,2214.0,1547.0,265423.0,87.249.135.50,Prague,Czech_Republic,0,1173,3438097,Other
1381,1467,booking.com,92.411994934082,18.996000289917,273.0,9.4980001449585,1235.0,1134.0,575791.0,87.249.135.50,Prague,Czech_Republic,0,788,3438054,Other
1382,1468,xhamster.com,46.1251735687256,21.7897891998291,395.0,10.8948945999146,2922.0,1315.0,327993.0,87.249.135.50,Prague,Czech_Republic,0,546,3004865,Other
1402,1490,nintendo.com,565.123319625855,19.4718837738037,32.0,9.73594188690186,1084.0,744.0,767380.0,87.249.135.50,Prague,Czech_Republic,0,1139,305220,Gaming Websites
1417,1507,yelp.com,91.3858413696289,28.2225608825684,785.0,14.1112804412842,2465.0,2355.0,129959.0,185.203.216.136,Copenhagen,Denmark,0,153,305220,Other
1422,1512,cambridge.org,1141.4258480072,25.6402492523193,113.0,12.8201246261597,1193.0,686.0,166437.0,185.203.216.136,Copenhagen,Denmark,0,312,586586,Educational Websites
1427,1517,espn.com,92.5459861755371,25.9265899658203,167.0,12.9632949829102,5430.0,1925.0,1289540.0,185.203.216.136,Copenhagen,Denmark,0,3096,12858336,Other
1433,1523,gsmarena.com,98.1419086456299,27.3587703704834,39.0,13.6793851852417,1547.0,789.0,64283.0,185.203.216.136,Copenhagen,Denmark,0,424,1510139,Other
1434,1524,mayoclinic.org,484.804153442383,26.5581607818604,179.0,13.2790803909302,7032.0,1018.0,557845.0,185.203.216.136,Copenhagen,Denmark,0,3793,10824737,Health and Medical Websites
1436,1526,timeanddate.com,247.802734375,26.2084007263184,63.0,13.1042003631592,1215.0,510.0,68007.0,185.203.216.136,Copenhagen,Denmark,0,920,2398347,Other
1437,1527,webmd.com,346.601724624634,34.8696708679199,80.0,17.43483543396,1488.0,820.0,421161.0,185.203.216.136,Copenhagen,Denmark,0,189,305220,Health and Medical Websites
1444,1534,netflix.com,421.591281890869,25.7434844970703,409.0,12.8717422485352,3644.0,2667.0,482233.0,185.203.216.136,Copenhagen,Denmark,0,593,4583346,Entertainment Websites
1446,1536,thefreedictionary.com,623.377799987793,47.0006465911865,208.0,23.5003232955933,3238.0,1227.0,1422856.0,185.203.216.136,Copenhagen,Denmark,0,2164,7205580,Educational Websites
1463,1554,flashscore.com,103.740692138672,26.775598526001,55.0,13.3877992630005,1912.0,738.0,298162.0,185.203.216.136,Copenhagen,Denmark,0,1418,1804413,Other
1470,1561,vocabulary.com,91.0446643829346,27.1148681640625,418.0,13.5574340820313,2160.0,1453.0,45283.0,185.203.216.136,Copenhagen,Denmark,0,3660,8968356,Other
1475,1567,booking.com,105.11326789856,28.0697345733643,350.0,14.0348672866821,1477.0,1359.0,573531.0,185.203.216.136,Copenhagen,Denmark,0,134,3696,Other
1476,1568,xhamster.com,79.0562629699707,26.6880989074707,297.0,13.3440494537354,2909.0,1262.0,323424.0,185.203.216.136,Copenhagen,Denmark,0,1070,2989452,Other
