,Unnamed: 0,Website,Connection Establishment Time,RTT,Initial Response,Latency,Page Load Time,Dependency Load Time,Page Size,IP,City,Country,WASM RTT,WASM Durations,WASM Sizes,Website Type
447,474,dominos.com,58.8290691375732,27.4102687835693,243.0,13.7051343917847,2373.0,370.0,47710.0,185.245.254.159,Brussels,Belgium,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
448,475,twitch.tv,64.2311573028564,26.9095897674561,0.0,13.454794883728,2340.0,841.0,214256.0,185.245.254.159,Brussels,Belgium,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Entertainment Websites
452,479,github.com,82.9899311065674,22.895336151123,45.0,11.4476680755615,747.0,688.0,234521.0,185.245.254.159,Brussels,Belgium,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
468,498,www2.hm.com,61.2149238586426,25.7508754730225,48.0,12.8754377365112,1161.0,886.0,46935.0,185.245.254.159,Brussels,Belgium,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
470,500,google.com,161.865949630737,48.187255859375,245.0,24.0936279296875,2594.0,1489.0,147628.0,185.212.111.170,Sarajevo,Bosnia_And_Herzegovina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
474,504,apple.com,190.64474105835,42.7672863006592,95.0,21.3836431503296,3538.0,1048.0,255185.0,185.212.111.170,Sarajevo,Bosnia_And_Herzegovina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
485,515,microsoft.com,337.772369384766,44.7063446044922,0.0,22.3531723022461,39.0,33.0,3448.0,185.212.111.170,Sarajevo,Bosnia_And_Herzegovina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
508,538,spotify.com,143.981695175171,43.4255599975586,112.0,21.7127799987793,4160.0,3211.0,78654.0,185.212.111.170,Sarajevo,Bosnia_And_Herzegovina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Entertainment Websites
513,544,nih.gov,1025.63047409058,54.6648502349854,524.0,27.3324251174927,4128.0,1804.0,81225.0,185.212.111.170,Sarajevo,Bosnia_And_Herzegovina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Health and Medical Websites
522,553,roblox.com,321.542263031006,42.1380996704102,227.0,21.0690498352051,3234.0,2922.0,96953.0,185.212.111.170,Sarajevo,Bosnia_And_Herzegovina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Gaming Websites
533,565,bloomberg.com,329.876184463501,45.7046031951904,74.0,22.8523015975952,1783.0,738.0,14423.0,185.212.111.170,Sarajevo,Bosnia_And_Herzegovina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Financial Websites
541,574,dominos.com,153.441190719605,42.6986217498779,325.0,21.349310874939,3342.0,566.0,47709.0,185.212.111.170,Sarajevo,Bosnia_And_Herzegovina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
561,596,calculator.net,466.395854949951,43.3766841888428,153.0,21.6883420944214,1243.0,854.0,11466.0,185.212.111.170,Sarajevo,Bosnia_And_Herzegovina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
562,598,www2.hm.com,151.07274055481,42.675256729126,119.0,21.337628364563,2813.0,1572.0,46933.0,185.212.111.170,Sarajevo,Bosnia_And_Herzegovina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
563,599,grubhub.com,147.733211517334,43.5917377471924,78.0,21.7958688735962,1130.0,391.0,2701.0,185.212.111.170,Sarajevo,Bosnia_And_Herzegovina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
564,600,google.com,522.438049316406,225.189447402954,359.0,112.594723701477,18488.0,4051.0,149772.0,193.19.205.204,São Paulo,Brazil,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
573,609,wiktionary.org,821.004629135132,228.127956390381,473.0,114.06397819519,2043.0,1997.0,61262.0,193.19.205.204,São Paulo,Brazil,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
